X,Y,fid,id,@id,description,fixme,height,highway,lamp_model,lamp_mount,lamp_type,leaf_type,level,light:count,light:lit,light:power,light:tilt,man_made,operator,source,support,tower:type,Z_1
79246.1060176492,75366.5189998832,6987,node/11407181038,node/11407181038,,,,street_lamp,,straight_mast,electric,,,,,,,,,,pole,,307.960021972656
79176.7230673683,75341.2585017747,6988,node/11407181042,node/11407181042,,,,street_lamp,,straight_mast,electric,,,,,,,,,,pole,,309.732482910156
79126.5286977554,75324.738083471,6989,node/11407181043,node/11407181043,,,,street_lamp,,straight_mast,electric,,,,,,,,,,pole,,312.897491455078
79056.0466744123,75302.8048391719,6990,node/11407181044,node/11407181044,,,,street_lamp,,straight_mast,electric,,,,,,,,,,pole,,316.640014648438
79784.6105955067,75270.2701482141,6991,node/11407188273,node/11407188273,,,,street_lamp,,bent_mast,electric,,,,,,,,,,pole,,326.002502441406
79740.4166375785,75474.9874576698,6992,node/11407188274,node/11407188274,,,,street_lamp,,bent_mast,electric,,,,,,,,,,pole,,316.804992675781
79763.2393263519,75481.437590603,6993,node/11407188275,node/11407188275,,,,street_lamp,,bent_mast,electric,,,,,,,,,,pole,,320.169982910156
79739.1160760308,75482.6952164359,6994,node/11407188276,node/11407188276,,,,street_lamp,,bent_mast,electric,,,,,,,,,,pole,,320.202514648438
79707.2521758603,75467.5368411878,6995,node/11407188277,node/11407188277,,,,street_lamp,,bent_mast,electric,,,,,,,,,,pole,,322.084991455078
79648.7706617876,75438.5216759083,6996,node/11407188278,node/11407188278,,,,street_lamp,,bent_mast,electric,,,,,,,,,,pole,,327.112487792969
79578.8046501003,75406.0933526704,6997,node/11407188279,node/11407188279,,,,street_lamp,,bent_mast,electric,,,,,,,,,,pole,,324.385009765625
77558.4737853277,74971.6213393651,7005,node/11916123659,node/11916123659,,,,street_lamp,,,,,,,,,,,,,,,275.350006103516
77569.8162890579,74944.0777468605,7006,node/11916123660,node/11916123660,,,,street_lamp,,,,,,,,,,,,,,,267.984985351562
